A.L.E: Arcade Learning Environment (version 0.11.2+ecc1138)
[Powered by Stella]

============================================================
Training: AE (fine-tune) (seed=3)
============================================================
Encoder: 1,999,232 params (fine-tune (encoder_lr_scale=0.1)) | Heads: 263,941 params
global_step=1088, episodic_return=0.0, episodic_length=546
global_step=1248, episodic_return=1.0, episodic_length=647
global_step=1448, episodic_return=1.0, episodic_length=743
global_step=1464, episodic_return=1.0, episodic_length=756
global_step=1512, episodic_return=2.0, episodic_length=783
global_step=1560, episodic_return=1.0, episodic_length=793
global_step=2032, episodic_return=3.0, episodic_length=1014
global_step=2504, episodic_return=0.0, episodic_length=545
global_step=2584, episodic_return=1.0, episodic_length=746
global_step=2600, episodic_return=4.0, episodic_length=1327
global_step=2656, episodic_return=0.0, episodic_length=585
global_step=3080, episodic_return=2.0, episodic_length=920
global_step=3360, episodic_return=1.0, episodic_length=668
global_step=3456, episodic_return=3.0, episodic_length=960
global_step=3648, episodic_return=3.0, episodic_length=1100
global_step=3648, episodic_return=0.0, episodic_length=551
global_step=3800, episodic_return=0.0, episodic_length=617
global_step=4280, episodic_return=2.0, episodic_length=814
global_step=4296, episodic_return=2.0, episodic_length=907
global_step=4728, episodic_return=0.0, episodic_length=536
global_step=4856, episodic_return=0.0, episodic_length=536
global_step=4880, episodic_return=1.0, episodic_length=767
global_step=4912, episodic_return=1.0, episodic_length=751
global_step=4968, episodic_return=3.0, episodic_length=965
global_step=4992, episodic_return=1.0, episodic_length=674
global_step=5296, episodic_return=0.0, episodic_length=514
global_step=5312, episodic_return=0.0, episodic_length=540
global_step=6000, episodic_return=0.0, episodic_length=503
global_step=6000, episodic_return=1.0, episodic_length=636
global_step=6168, episodic_return=1.0, episodic_length=628
global_step=6400, episodic_return=1.0, episodic_length=710
global_step=6736, episodic_return=2.0, episodic_length=929
global_step=6912, episodic_return=2.0, episodic_length=808
global_step=7128, episodic_return=2.0, episodic_length=912
global_step=7216, episodic_return=0.0, episodic_length=526
global_step=7424, episodic_return=1.0, episodic_length=723
global_step=7568, episodic_return=9.0, episodic_length=1367
global_step=7568, episodic_return=0.0, episodic_length=594
global_step=8024, episodic_return=0.0, episodic_length=572
global_step=8032, episodic_return=1.0, episodic_length=659
global_step=8072, episodic_return=3.0, episodic_length=1051
global_step=8360, episodic_return=1.0, episodic_length=640
global_step=8384, episodic_return=0.0, episodic_length=583
global_step=8520, episodic_return=0.0, episodic_length=559
global_step=8688, episodic_return=0.0, episodic_length=566
global_step=8832, episodic_return=1.0, episodic_length=650
global_step=9080, episodic_return=0.0, episodic_length=532
global_step=9248, episodic_return=0.0, episodic_length=620
global_step=9392, episodic_return=0.0, episodic_length=528
global_step=9528, episodic_return=0.0, episodic_length=574
global_step=9568, episodic_return=0.0, episodic_length=550
global_step=9648, episodic_return=2.0, episodic_length=792
global_step=9904, episodic_return=0.0, episodic_length=556
update 10/9765 | step 10240/10000000 | SPS 465 | pg_loss -0.0036 | v_loss 0.0230 | entropy 1.3559
global_step=10248, episodic_return=1.0, episodic_length=782
global_step=10440, episodic_return=0.0, episodic_length=596
global_step=10672, episodic_return=0.0, episodic_length=586
global_step=10728, episodic_return=0.0, episodic_length=588
global_step=10736, episodic_return=1.0, episodic_length=690
global_step=10784, episodic_return=0.0, episodic_length=569
global_step=11144, episodic_return=1.0, episodic_length=632
global_step=11320, episodic_return=0.0, episodic_length=546
global_step=11440, episodic_return=4.0, episodic_length=1182
global_step=11776, episodic_return=0.0, episodic_length=562
global_step=11872, episodic_return=1.0, episodic_length=730
global_step=11992, episodic_return=0.0, episodic_length=618
global_step=12080, episodic_return=1.0, episodic_length=681
global_step=12688, episodic_return=3.0, episodic_length=982
global_step=12816, episodic_return=1.0, episodic_length=700
global_step=13032, episodic_return=2.0, episodic_length=858
global_step=13200, episodic_return=1.0, episodic_length=668
global_step=13312, episodic_return=3.0, episodic_length=1107
global_step=13328, episodic_return=1.0, episodic_length=774
global_step=13536, episodic_return=2.0, episodic_length=795
global_step=13896, episodic_return=0.0, episodic_length=552
global_step=13984, episodic_return=3.0, episodic_length=972
global_step=14224, episodic_return=1.0, episodic_length=782
global_step=14344, episodic_return=0.0, episodic_length=522
global_step=14592, episodic_return=1.0, episodic_length=647
global_step=14800, episodic_return=2.0, episodic_length=816
global_step=14848, episodic_return=1.0, episodic_length=675
global_step=14936, episodic_return=0.0, episodic_length=530
global_step=15304, episodic_return=1.0, episodic_length=668
global_step=15568, episodic_return=5.0, episodic_length=1285
global_step=15720, episodic_return=1.0, episodic_length=762
global_step=15808, episodic_return=0.0, episodic_length=515
global_step=16104, episodic_return=1.0, episodic_length=757
global_step=16480, episodic_return=1.0, episodic_length=811
global_step=16712, episodic_return=2.0, episodic_length=895
global_step=16808, episodic_return=4.0, episodic_length=1239
global_step=17040, episodic_return=2.0, episodic_length=883
global_step=17144, episodic_return=1.0, episodic_length=803
global_step=17256, episodic_return=0.0, episodic_length=600
global_step=17368, episodic_return=2.0, episodic_length=783
global_step=17576, episodic_return=0.0, episodic_length=552
global_step=17664, episodic_return=2.0, episodic_length=990
global_step=18176, episodic_return=0.0, episodic_length=516
global_step=18216, episodic_return=1.0, episodic_length=752
global_step=18232, episodic_return=1.0, episodic_length=722
global_step=18392, episodic_return=0.0, episodic_length=587
global_step=18744, episodic_return=0.0, episodic_length=580
global_step=18840, episodic_return=3.0, episodic_length=923
global_step=19000, episodic_return=2.0, episodic_length=831
global_step=19336, episodic_return=2.0, episodic_length=844
global_step=19536, episodic_return=1.0, episodic_length=675
global_step=19632, episodic_return=1.0, episodic_length=735
global_step=19704, episodic_return=1.0, episodic_length=662
global_step=19984, episodic_return=2.0, episodic_length=884
global_step=20192, episodic_return=1.0, episodic_length=724
global_step=20240, episodic_return=1.0, episodic_length=711
global_step=20376, episodic_return=1.0, episodic_length=707
update 20/9765 | step 20480/10000000 | SPS 483 | pg_loss -0.0035 | v_loss 0.0125 | entropy 1.3317
global_step=20776, episodic_return=0.0, episodic_length=727
global_step=20944, episodic_return=1.0, episodic_length=631
global_step=21168, episodic_return=0.0, episodic_length=588
global_step=21200, episodic_return=2.0, episodic_length=848
global_step=21232, episodic_return=0.0, episodic_length=531
global_step=21328, episodic_return=2.0, episodic_length=862
global_step=21576, episodic_return=0.0, episodic_length=691
global_step=21640, episodic_return=0.0, episodic_length=647
global_step=22016, episodic_return=0.0, episodic_length=615
global_step=22080, episodic_return=0.0, episodic_length=562
global_step=22384, episodic_return=0.0, episodic_length=604
global_step=22392, episodic_return=0.0, episodic_length=626
global_step=22608, episodic_return=0.0, episodic_length=656
global_step=22656, episodic_return=1.0, episodic_length=727
global_step=22808, episodic_return=0.0, episodic_length=612
global_step=23200, episodic_return=0.0, episodic_length=605
global_step=23304, episodic_return=1.0, episodic_length=837
global_step=23576, episodic_return=0.0, episodic_length=599
global_step=23600, episodic_return=0.0, episodic_length=612
global_step=23776, episodic_return=0.0, episodic_length=606
global_step=24056, episodic_return=0.0, episodic_length=620
global_step=24248, episodic_return=2.0, episodic_length=811
global_step=24264, episodic_return=7.0, episodic_length=1091
global_step=24408, episodic_return=0.0, episodic_length=603
global_step=25000, episodic_return=2.0, episodic_length=869
global_step=25056, episodic_return=0.0, episodic_length=498
global_step=25352, episodic_return=0.0, episodic_length=562
global_step=25448, episodic_return=0.0, episodic_length=611
global_step=25920, episodic_return=4.0, episodic_length=1194
global_step=25936, episodic_return=2.0, episodic_length=775
global_step=26144, episodic_return=0.0, episodic_length=559
global_step=26184, episodic_return=0.0, episodic_length=608
global_step=26288, episodic_return=9.0, episodic_length=1367
global_step=26568, episodic_return=0.0, episodic_length=563
global_step=27080, episodic_return=0.0, episodic_length=580
global_step=27168, episodic_return=3.0, episodic_length=905
global_step=27288, episodic_return=0.0, episodic_length=696
global_step=27392, episodic_return=0.0, episodic_length=615
global_step=27416, episodic_return=11.0, episodic_length=1827
global_step=27544, episodic_return=1.0, episodic_length=643
global_step=27648, episodic_return=0.0, episodic_length=539
global_step=28144, episodic_return=0.0, episodic_length=531
global_step=28488, episodic_return=0.0, episodic_length=539
global_step=28552, episodic_return=0.0, episodic_length=603
global_step=28632, episodic_return=0.0, episodic_length=542
global_step=28640, episodic_return=5.0, episodic_length=1247
global_step=28728, episodic_return=2.0, episodic_length=784
global_step=29144, episodic_return=3.0, episodic_length=925
global_step=29328, episodic_return=2.0, episodic_length=851
global_step=29624, episodic_return=1.0, episodic_length=763
global_step=29688, episodic_return=0.0, episodic_length=538
global_step=29712, episodic_return=0.0, episodic_length=618
global_step=30288, episodic_return=2.0, episodic_length=836
global_step=30296, episodic_return=3.0, episodic_length=887
global_step=30408, episodic_return=1.0, episodic_length=644
global_step=30480, episodic_return=3.0, episodic_length=895
global_step=30720, episodic_return=0.0, episodic_length=546
update 30/9765 | step 30720/10000000 | SPS 485 | pg_loss -0.0066 | v_loss 0.0269 | entropy 1.2172
global_step=30864, episodic_return=0.0, episodic_length=576
global_step=31104, episodic_return=3.0, episodic_length=903
global_step=31536, episodic_return=0.0, episodic_length=632
global_step=31544, episodic_return=0.0, episodic_length=579
global_step=31632, episodic_return=0.0, episodic_length=570
global_step=31984, episodic_return=1.0, episodic_length=628
global_step=32176, episodic_return=0.0, episodic_length=543
global_step=32216, episodic_return=1.0, episodic_length=683
global_step=32336, episodic_return=7.0, episodic_length=1023
global_step=32760, episodic_return=0.0, episodic_length=576
global_step=32848, episodic_return=7.0, episodic_length=1583
global_step=33064, episodic_return=0.0, episodic_length=556
global_step=33168, episodic_return=2.0, episodic_length=832
global_step=33168, episodic_return=2.0, episodic_length=814
global_step=33464, episodic_return=0.0, episodic_length=644
global_step=33920, episodic_return=0.0, episodic_length=535
global_step=33920, episodic_return=2.0, episodic_length=803
global_step=33920, episodic_return=0.0, episodic_length=595
global_step=34072, episodic_return=3.0, episodic_length=947
global_step=34120, episodic_return=0.0, episodic_length=523
global_step=34952, episodic_return=0.0, episodic_length=520
