A.L.E: Arcade Learning Environment (version 0.11.2+ecc1138)
[Powered by Stella]

============================================================
Training: JEPA (fine-tune) (seed=3)
============================================================
Encoder: 1,999,232 params (fine-tune (encoder_lr_scale=0.1)) | Heads: 263,941 params
global_step=1088, episodic_return=0.0, episodic_length=546
global_step=1248, episodic_return=1.0, episodic_length=647
global_step=1448, episodic_return=1.0, episodic_length=743
global_step=1512, episodic_return=2.0, episodic_length=783
global_step=1560, episodic_return=1.0, episodic_length=793
global_step=1824, episodic_return=2.0, episodic_length=935
global_step=2032, episodic_return=3.0, episodic_length=1014
global_step=2504, episodic_return=0.0, episodic_length=545
global_step=2600, episodic_return=4.0, episodic_length=1327
global_step=2656, episodic_return=0.0, episodic_length=585
global_step=3080, episodic_return=2.0, episodic_length=920
global_step=3144, episodic_return=3.0, episodic_length=1026
global_step=3192, episodic_return=1.0, episodic_length=693
global_step=3232, episodic_return=2.0, episodic_length=846
global_step=3360, episodic_return=1.0, episodic_length=668
global_step=3800, episodic_return=0.0, episodic_length=617
global_step=4232, episodic_return=0.0, episodic_length=565
global_step=4280, episodic_return=2.0, episodic_length=813
global_step=4480, episodic_return=0.0, episodic_length=567
global_step=4688, episodic_return=2.0, episodic_length=825
global_step=4856, episodic_return=0.0, episodic_length=536
global_step=5056, episodic_return=4.0, episodic_length=1288
global_step=5104, episodic_return=2.0, episodic_length=961
global_step=5224, episodic_return=3.0, episodic_length=1021
global_step=5312, episodic_return=0.0, episodic_length=541
global_step=6008, episodic_return=2.0, episodic_length=766
global_step=6344, episodic_return=3.0, episodic_length=1051
global_step=6424, episodic_return=1.0, episodic_length=793
global_step=6504, episodic_return=1.0, episodic_length=699
global_step=6696, episodic_return=2.0, episodic_length=834
global_step=6960, episodic_return=2.0, episodic_length=829
global_step=7048, episodic_return=2.0, episodic_length=910
global_step=7144, episodic_return=0.0, episodic_length=580
global_step=7512, episodic_return=0.0, episodic_length=585
global_step=7872, episodic_return=1.0, episodic_length=730
global_step=7960, episodic_return=9.0, episodic_length=1631
global_step=8064, episodic_return=1.0, episodic_length=683
global_step=8240, episodic_return=0.0, episodic_length=558
global_step=8248, episodic_return=3.0, episodic_length=875
global_step=8312, episodic_return=1.0, episodic_length=643
global_step=8440, episodic_return=1.0, episodic_length=761
global_step=9328, episodic_return=1.0, episodic_length=730
global_step=9360, episodic_return=3.0, episodic_length=937
global_step=9504, episodic_return=1.0, episodic_length=626
global_step=9568, episodic_return=0.0, episodic_length=574
global_step=9904, episodic_return=2.0, episodic_length=833
global_step=9904, episodic_return=2.0, episodic_length=933
global_step=10216, episodic_return=3.0, episodic_length=1140
update 10/9765 | step 10240/10000000 | SPS 439 | pg_loss -0.0081 | v_loss 0.0436 | entropy 1.3677
global_step=10432, episodic_return=0.0, episodic_length=539
global_step=10464, episodic_return=0.0, episodic_length=576
global_step=10792, episodic_return=5.0, episodic_length=1251
global_step=10968, episodic_return=0.0, episodic_length=544
global_step=11048, episodic_return=0.0, episodic_length=580
global_step=11360, episodic_return=3.0, episodic_length=932
global_step=11584, episodic_return=3.0, episodic_length=1025
global_step=11760, episodic_return=1.0, episodic_length=664
global_step=11848, episodic_return=2.0, episodic_length=836
global_step=12016, episodic_return=0.0, episodic_length=539
global_step=12240, episodic_return=3.0, episodic_length=889
global_step=12440, episodic_return=2.0, episodic_length=848
global_step=12480, episodic_return=1.0, episodic_length=713
global_step=12768, episodic_return=1.0, episodic_length=717
global_step=12840, episodic_return=0.0, episodic_length=554
global_step=13192, episodic_return=1.0, episodic_length=692
global_step=13296, episodic_return=2.0, episodic_length=861
global_step=13336, episodic_return=0.0, episodic_length=565
global_step=14272, episodic_return=2.0, episodic_length=910
global_step=14320, episodic_return=3.0, episodic_length=947
global_step=14520, episodic_return=1.0, episodic_length=676
global_step=14704, episodic_return=1.0, episodic_length=701
global_step=14824, episodic_return=5.0, episodic_length=1415
global_step=14832, episodic_return=3.0, episodic_length=1017
global_step=14944, episodic_return=3.0, episodic_length=1101
global_step=15552, episodic_return=0.0, episodic_length=536
global_step=15560, episodic_return=4.0, episodic_length=1147
global_step=15600, episodic_return=1.0, episodic_length=643
global_step=15824, episodic_return=0.0, episodic_length=560
global_step=15856, episodic_return=0.0, episodic_length=521
global_step=16552, episodic_return=2.0, episodic_length=878
global_step=16792, episodic_return=0.0, episodic_length=616
global_step=16800, episodic_return=2.0, episodic_length=927
global_step=16832, episodic_return=0.0, episodic_length=511
global_step=17096, episodic_return=5.0, episodic_length=1416
global_step=17136, episodic_return=1.0, episodic_length=641
global_step=17792, episodic_return=4.0, episodic_length=1131
global_step=17824, episodic_return=0.0, episodic_length=525
global_step=18144, episodic_return=0.0, episodic_length=540
global_step=18216, episodic_return=0.0, episodic_length=555
global_step=18480, episodic_return=2.0, episodic_length=838
global_step=19048, episodic_return=10.0, episodic_length=1756
global_step=19176, episodic_return=0.0, episodic_length=527
global_step=19512, episodic_return=2.0, episodic_length=857
global_step=19648, episodic_return=1.0, episodic_length=732
global_step=19712, episodic_return=1.0, episodic_length=632
global_step=19720, episodic_return=6.0, episodic_length=1578
global_step=20112, episodic_return=6.0, episodic_length=1670
global_step=20128, episodic_return=0.0, episodic_length=544
global_step=20264, episodic_return=4.0, episodic_length=1256
update 20/9765 | step 20480/10000000 | SPS 461 | pg_loss -0.0115 | v_loss 0.0242 | entropy 1.3232
global_step=20664, episodic_return=0.0, episodic_length=521
global_step=20752, episodic_return=1.0, episodic_length=640
global_step=21128, episodic_return=0.0, episodic_length=508
global_step=21248, episodic_return=3.0, episodic_length=1037
global_step=21424, episodic_return=2.0, episodic_length=879
global_step=21432, episodic_return=2.0, episodic_length=862
global_step=21736, episodic_return=0.0, episodic_length=539
global_step=21744, episodic_return=0.0, episodic_length=509
global_step=22128, episodic_return=3.0, episodic_length=1010
global_step=22136, episodic_return=3.0, episodic_length=943
global_step=22176, episodic_return=0.0, episodic_length=548
global_step=22560, episodic_return=0.0, episodic_length=559
global_step=22872, episodic_return=2.0, episodic_length=828
global_step=23048, episodic_return=2.0, episodic_length=817
global_step=23144, episodic_return=1.0, episodic_length=725
global_step=23272, episodic_return=0.0, episodic_length=577
global_step=23384, episodic_return=2.0, episodic_length=845
global_step=23576, episodic_return=0.0, episodic_length=507
global_step=23776, episodic_return=2.0, episodic_length=819
global_step=23896, episodic_return=0.0, episodic_length=532
global_step=24176, episodic_return=3.0, episodic_length=1026
global_step=24376, episodic_return=0.0, episodic_length=548
global_step=24456, episodic_return=0.0, episodic_length=533
global_step=24768, episodic_return=2.0, episodic_length=827
global_step=24944, episodic_return=1.0, episodic_length=696
global_step=25536, episodic_return=2.0, episodic_length=835
global_step=25608, episodic_return=5.0, episodic_length=1285
global_step=26168, episodic_return=4.0, episodic_length=1201
global_step=26176, episodic_return=2.0, episodic_length=858
global_step=26584, episodic_return=0.0, episodic_length=527
global_step=26816, episodic_return=5.0, episodic_length=1316
global_step=26944, episodic_return=3.0, episodic_length=1012
global_step=27008, episodic_return=5.0, episodic_length=1330
global_step=27192, episodic_return=0.0, episodic_length=523
global_step=27200, episodic_return=4.0, episodic_length=1216
global_step=27984, episodic_return=4.0, episodic_length=1196
global_step=28248, episodic_return=0.0, episodic_length=531
global_step=28304, episodic_return=2.0, episodic_length=881
global_step=28632, episodic_return=2.0, episodic_length=819
global_step=28976, episodic_return=3.0, episodic_length=1032
global_step=29208, episodic_return=6.0, episodic_length=1515
global_step=29232, episodic_return=4.0, episodic_length=1220
global_step=29336, episodic_return=0.0, episodic_length=533
global_step=29648, episodic_return=2.0, episodic_length=831
global_step=29840, episodic_return=5.0, episodic_length=1320
global_step=29984, episodic_return=2.0, episodic_length=865
global_step=30272, episodic_return=2.0, episodic_length=839
global_step=30304, episodic_return=0.0, episodic_length=563
global_step=30352, episodic_return=0.0, episodic_length=560
global_step=30368, episodic_return=0.0, episodic_length=528
global_step=30672, episodic_return=2.0, episodic_length=862
update 30/9765 | step 30720/10000000 | SPS 469 | pg_loss -0.0063 | v_loss 0.0225 | entropy 1.3016
global_step=31088, episodic_return=0.0, episodic_length=563
global_step=31352, episodic_return=2.0, episodic_length=859
global_step=31552, episodic_return=2.0, episodic_length=853
global_step=31888, episodic_return=2.0, episodic_length=810
global_step=32424, episodic_return=0.0, episodic_length=556
global_step=32552, episodic_return=4.0, episodic_length=1124
global_step=32744, episodic_return=3.0, episodic_length=1040
global_step=32792, episodic_return=4.0, episodic_length=1236
global_step=32832, episodic_return=4.0, episodic_length=1249
global_step=33272, episodic_return=2.0, episodic_length=878
global_step=33608, episodic_return=0.0, episodic_length=603
global_step=33864, episodic_return=5.0, episodic_length=1391
global_step=33944, episodic_return=0.0, episodic_length=575
global_step=34008, episodic_return=3.0, episodic_length=1060
global_step=34424, episodic_return=0.0, episodic_length=573
global_step=34560, episodic_return=2.0, episodic_length=899
global_step=34664, episodic_return=0.0, episodic_length=548
global_step=35064, episodic_return=4.0, episodic_length=1271
global_step=35168, episodic_return=0.0, episodic_length=609
global_step=35616, episodic_return=0.0, episodic_length=540
global_step=35656, episodic_return=1.0, episodic_length=621
global_step=35728, episodic_return=6.0, episodic_length=1490
global_step=36400, episodic_return=4.0, episodic_length=1221
global_step=36720, episodic_return=5.0, episodic_length=1442
global_step=36728, episodic_return=0.0, episodic_length=553
global_step=36768, episodic_return=2.0, episodic_length=853
global_step=36952, episodic_return=0.0, episodic_length=621
global_step=37072, episodic_return=4.0, episodic_length=1223
global_step=37344, episodic_return=2.0, episodic_length=880
global_step=37688, episodic_return=4.0, episodic_length=1272
global_step=37744, episodic_return=0.0, episodic_length=528
global_step=37904, episodic_return=0.0, episodic_length=567
global_step=38040, episodic_return=0.0, episodic_length=556
global_step=38376, episodic_return=0.0, episodic_length=513
global_step=38408, episodic_return=1.0, episodic_length=677
global_step=38800, episodic_return=4.0, episodic_length=1201
global_step=39072, episodic_return=0.0, episodic_length=523
