A.L.E: Arcade Learning Environment (version 0.11.2+ecc1138)
[Powered by Stella]

============================================================
Training: ViT (scratch) (seed=2)
============================================================
Encoder: 1,999,232 params (fine-tune (encoder_lr_scale=1.0)) | Heads: 263,941 params
global_step=1008, episodic_return=0.0, episodic_length=520
global_step=1024, episodic_return=0.0, episodic_length=539
global_step=1112, episodic_return=0.0, episodic_length=567
global_step=1120, episodic_return=0.0, episodic_length=582
global_step=1488, episodic_return=1.0, episodic_length=766
global_step=1504, episodic_return=1.0, episodic_length=750
global_step=1984, episodic_return=2.0, episodic_length=994
global_step=2440, episodic_return=1.0, episodic_length=725
global_step=2600, episodic_return=4.0, episodic_length=1320
global_step=2880, episodic_return=2.0, episodic_length=885
global_step=2968, episodic_return=2.0, episodic_length=938
global_step=3280, episodic_return=4.0, episodic_length=1138
global_step=3280, episodic_return=2.0, episodic_length=906
global_step=3336, episodic_return=2.0, episodic_length=920
global_step=3520, episodic_return=0.0, episodic_length=548
global_step=4424, episodic_return=4.0, episodic_length=1220
global_step=4504, episodic_return=3.0, episodic_length=967
global_step=4528, episodic_return=0.0, episodic_length=603
global_step=4608, episodic_return=0.0, episodic_length=553
global_step=4688, episodic_return=1.0, episodic_length=706
global_step=4776, episodic_return=3.0, episodic_length=969
global_step=5200, episodic_return=3.0, episodic_length=1138
global_step=5496, episodic_return=3.0, episodic_length=1111
global_step=5536, episodic_return=0.0, episodic_length=575
global_step=5560, episodic_return=0.0, episodic_length=541
global_step=6200, episodic_return=2.0, episodic_length=837
global_step=6320, episodic_return=2.0, episodic_length=838
global_step=6568, episodic_return=2.0, episodic_length=988
global_step=6648, episodic_return=2.0, episodic_length=930
global_step=6944, episodic_return=1.0, episodic_length=699
global_step=7072, episodic_return=1.0, episodic_length=768
global_step=7416, episodic_return=4.0, episodic_length=1109
global_step=7608, episodic_return=0.0, episodic_length=523
global_step=7632, episodic_return=1.0, episodic_length=728
global_step=7704, episodic_return=1.0, episodic_length=714
global_step=7976, episodic_return=4.0, episodic_length=1238
global_step=8016, episodic_return=0.0, episodic_length=536
global_step=8104, episodic_return=1.0, episodic_length=738
global_step=8616, episodic_return=0.0, episodic_length=513
global_step=8832, episodic_return=0.0, episodic_length=563
global_step=8968, episodic_return=2.0, episodic_length=945
global_step=9080, episodic_return=1.0, episodic_length=732
global_step=9280, episodic_return=3.0, episodic_length=936
global_step=9352, episodic_return=1.0, episodic_length=681
global_step=9664, episodic_return=0.0, episodic_length=525
global_step=10032, episodic_return=3.0, episodic_length=981
global_step=10176, episodic_return=0.0, episodic_length=548
update 10/9765 | step 10240/10000000 | SPS 512 | pg_loss -0.0099 | v_loss 0.0337 | entropy 1.3600
global_step=10336, episodic_return=2.0, episodic_length=771
global_step=10408, episodic_return=4.0, episodic_length=1226
global_step=10640, episodic_return=2.0, episodic_length=849
global_step=11032, episodic_return=2.0, episodic_length=841
global_step=11248, episodic_return=0.0, episodic_length=548
global_step=11296, episodic_return=1.0, episodic_length=653
global_step=11304, episodic_return=2.0, episodic_length=837
global_step=11328, episodic_return=3.0, episodic_length=1025
global_step=11776, episodic_return=1.0, episodic_length=736
global_step=11792, episodic_return=1.0, episodic_length=703
global_step=12080, episodic_return=0.0, episodic_length=523
global_step=12280, episodic_return=2.0, episodic_length=828
global_step=12344, episodic_return=0.0, episodic_length=561
global_step=12952, episodic_return=2.0, episodic_length=841
global_step=12960, episodic_return=2.0, episodic_length=845
global_step=13288, episodic_return=0.0, episodic_length=504
global_step=13768, episodic_return=3.0, episodic_length=1003
global_step=13976, episodic_return=3.0, episodic_length=1115
global_step=14016, episodic_return=0.0, episodic_length=553
global_step=14248, episodic_return=1.0, episodic_length=646
global_step=14408, episodic_return=6.0, episodic_length=1543
global_step=14544, episodic_return=1.0, episodic_length=643
global_step=15000, episodic_return=0.0, episodic_length=520
global_step=15008, episodic_return=5.0, episodic_length=1344
global_step=15200, episodic_return=6.0, episodic_length=1574
global_step=15272, episodic_return=0.0, episodic_length=520
global_step=15800, episodic_return=3.0, episodic_length=1032
global_step=16032, episodic_return=3.0, episodic_length=1017
global_step=16192, episodic_return=2.0, episodic_length=829
global_step=16384, episodic_return=0.0, episodic_length=570
global_step=16432, episodic_return=3.0, episodic_length=1026
global_step=16448, episodic_return=1.0, episodic_length=726
global_step=16832, episodic_return=2.0, episodic_length=920
global_step=16832, episodic_return=2.0, episodic_length=836
global_step=16872, episodic_return=0.0, episodic_length=552
global_step=17448, episodic_return=0.0, episodic_length=501
global_step=17480, episodic_return=1.0, episodic_length=661
global_step=17912, episodic_return=0.0, episodic_length=557
global_step=17968, episodic_return=0.0, episodic_length=567
global_step=18024, episodic_return=2.0, episodic_length=838
global_step=18200, episodic_return=3.0, episodic_length=1088
global_step=18528, episodic_return=0.0, episodic_length=536
global_step=18872, episodic_return=1.0, episodic_length=728
global_step=18936, episodic_return=3.0, episodic_length=1074
global_step=18976, episodic_return=0.0, episodic_length=512
global_step=19488, episodic_return=6.0, episodic_length=1538
global_step=19600, episodic_return=1.0, episodic_length=712
global_step=19976, episodic_return=0.0, episodic_length=529
global_step=20104, episodic_return=1.0, episodic_length=632
global_step=20304, episodic_return=4.0, episodic_length=1164
update 20/9765 | step 20480/10000000 | SPS 495 | pg_loss -0.0039 | v_loss 0.0377 | entropy 1.3576
global_step=20488, episodic_return=3.0, episodic_length=982
global_step=20608, episodic_return=2.0, episodic_length=834
global_step=20760, episodic_return=5.0, episodic_length=1418
global_step=20776, episodic_return=0.0, episodic_length=593
global_step=21168, episodic_return=2.0, episodic_length=840
global_step=21432, episodic_return=0.0, episodic_length=569
global_step=21576, episodic_return=2.0, episodic_length=814
global_step=21728, episodic_return=2.0, episodic_length=824
global_step=21832, episodic_return=1.0, episodic_length=687
global_step=22400, episodic_return=2.0, episodic_length=808
global_step=22544, episodic_return=3.0, episodic_length=989
global_step=22704, episodic_return=3.0, episodic_length=979
global_step=22792, episodic_return=0.0, episodic_length=536
global_step=22840, episodic_return=0.0, episodic_length=523
global_step=23040, episodic_return=3.0, episodic_length=952
global_step=23440, episodic_return=3.0, episodic_length=1008
global_step=23584, episodic_return=3.0, episodic_length=1024
global_step=23640, episodic_return=0.0, episodic_length=549
global_step=23992, episodic_return=2.0, episodic_length=813
global_step=24144, episodic_return=0.0, episodic_length=553
global_step=24288, episodic_return=1.0, episodic_length=739
global_step=24568, episodic_return=2.0, episodic_length=928
global_step=24680, episodic_return=0.0, episodic_length=559
global_step=24720, episodic_return=0.0, episodic_length=540
global_step=25064, episodic_return=4.0, episodic_length=1160
global_step=25200, episodic_return=0.0, episodic_length=551
global_step=25376, episodic_return=0.0, episodic_length=547
global_step=25616, episodic_return=0.0, episodic_length=524
global_step=25736, episodic_return=0.0, episodic_length=551
global_step=25912, episodic_return=4.0, episodic_length=1244
global_step=26304, episodic_return=0.0, episodic_length=571
global_step=26328, episodic_return=2.0, episodic_length=801
global_step=26400, episodic_return=4.0, episodic_length=1212
global_step=26768, episodic_return=2.0, episodic_length=868
global_step=26824, episodic_return=0.0, episodic_length=540
global_step=27008, episodic_return=0.0, episodic_length=548
global_step=27416, episodic_return=0.0, episodic_length=560
global_step=27432, episodic_return=3.0, episodic_length=1052
global_step=27944, episodic_return=2.0, episodic_length=825
global_step=28048, episodic_return=2.0, episodic_length=843
